subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;cardinality;mapping_justification
http://qudt.org/schema/qudt/hasUnit;CEON;PMDco;;https://w3id.org/pmd/co/unit;hasUnit;unit;1.0;=;
http://qudt.org/schema/qudt/numericValue;CEON;PMDco;;http://www.w3.org/ns/prov#value;numericValue;value;1.0;=;
http://qudt.org/schema/qudt/numericValue;CEON;PMDco;;https://w3id.org/pmd/co/value;numericValue;value;1.0;=;
http://qudt.org/schema/qudt/Unit;CEON;PMDco;;http://qudt.org/schema/qudt/Unit;Unit;Unit;1.0;=;
http://w3id.org/CEON/ontology/actor/Organisation;CEON;PMDco;;http://www.w3.org/ns/prov#Organization;Organisation;Organization;1.0;=;
http://w3id.org/CEON/ontology/actor/Person;CEON;PMDco;;http://www.w3.org/ns/prov#Person;Person;Person;1.0;=;
http://w3id.org/CEON/ontology/material/ChemicalEntity;CEON;PMDco;;http://purl.obolibrary.org/obo/CHEBI_24431;ChemicalEntity;CHEBI_24431;1.0;=;
http://w3id.org/CEON/ontology/processODP/Description;CEON;PMDco;;https://w3id.org/pmd/co/Description;Description;Description;1.0;=;
http://w3id.org/CEON/ontology/processODP/hasInput;CEON;PMDco;;https://w3id.org/pmd/co/input;hasInput;input;1.0;=;
http://w3id.org/CEON/ontology/processODP/hasOutput;CEON;PMDco;;https://w3id.org/pmd/co/output;hasOutput;output;1.0;=;
http://w3id.org/CEON/ontology/processODP/occursAtLocation;CEON;PMDco;;http://www.w3.org/ns/prov#atLocation;occursAtLocation;atLocation;1.0;=;
http://w3id.org/CEON/ontology/processODP/occursAtTime;CEON;PMDco;;http://www.w3.org/ns/prov#atTime;occursAtTime;atTime;1.0;=;
http://w3id.org/CEON/ontology/processODP/Plan;CEON;PMDco;;http://www.w3.org/ns/prov#Plan;Plan;Plan;1.0;=;
http://w3id.org/CEON/ontology/processODP/Process;CEON;PMDco;;https://w3id.org/pmd/co/Process;Process;Process;1.0;=;
http://w3id.org/CEON/ontology/quantity/numericalMaxValue;CEON;PMDco;;https://w3id.org/pmd/co/maxValue;numericalMaxValue;maxValue;1.0;=;
http://w3id.org/CEON/ontology/quantity/numericalMinValue;CEON;PMDco;;https://w3id.org/pmd/co/minValue;numericalMinValue;minValue;1.0;=;
http://www.w3.org/ns/prov#Entity;CEON;PMDco;;http://www.w3.org/ns/prov#Entity;Entity;Entity;1.0;=;
http://www.w3.org/ns/prov#Role;CEON;PMDco;;http://www.w3.org/ns/prov#Role;Role;Role;1.0;=;
http://www.w3.org/2002/07/owl#topDataProperty;CEON;PMDco;;http://www.w3.org/2002/07/owl#topDataProperty;topDataProperty;topDataProperty;1.0;=;
http://www.w3.org/2002/07/owl#topObjectProperty;CEON;PMDco;;http://www.w3.org/2002/07/owl#topObjectProperty;topObjectProperty;topObjectProperty;1.0;=;
